Show,Date,Placement,Artist,Song,Total,Digital,Physical,Pre-vote,SNS,Broadcast
Show Champion,07-23-2025,1.,BLACKPINK,JUMP,"4,652","3,500",0,152,"1,000",0
Show Champion,07-23-2025,2.,NCT DREAM,BTTF,"4,337",638,"1,500","2,000",199,0
Show Champion,07-23-2025,3.,aespa,Dirty Work,"2,950","2,792",5,4,149,0
Show Champion,07-23-2025,4.,ASTRO,EXTRA VIRGIN,"2,386",0,74,250,62,"2,000"
Show Champion,07-23-2025,5.,CLOSE YOUR EYES,Snowy Summer,"2,026",0,17,5,4,"2,000"
Show Champion,07-16-2025,1.,CLOSE YOUR EYES,Snowy Summer,"4,478",200,"1,015",765,498,"2,000"
Show Champion,07-16-2025,2.,SUPER JUNIOR,Express Mode,"3,678",537,969,"2,000",172,0
Show Champion,07-16-2025,3.,ALLDAY Project,FAMOUS,"3,563","3,500",6,7,50,0
Show Champion,07-16-2025,4.,Twice,THIS IS FOR,"3,274",93,"1,500",318,318,0
Show Champion,07-16-2025,5.,aespa,Dirty Work,"3,095","2,886",37,158,158,0
Show Champion,07-09-2025,1.,AHOF,Rendezvous,"6,831",513,"1,500","2,000","1,000","1,818"
Show Champion,07-09-2025,2.,aespa,Dirty Work,"4,798","2,924",835,657,382,0
Show Champion,07-09-2025,3.,ALLDAY Project,FAMOUS,"3,654","3,500",29,5,120,0
Show Champion,07-09-2025,4.,NouerA,n (number of cases),"2,936",0,906,9,203,"1,818"
Show Champion,07-09-2025,5.,ONEUS,X,"2,312",0,148,120,44,"2,000"
Show Champion,07-02-2025,1.,Cravity,SET NET G0?!,"5,186",565,482,"1,959",180,"2,000"
Show Champion,07-02-2025,2.,aespa,Dirty Work,"4,309","1,432","1,500",500,877,0
Show Champion,07-02-2025,3.,fromis_9,LIKE YOU BETTER,"3,955","1,460",91,"2,000",404,0
Show Champion,07-02-2025,4.,ALLDAY Project,FAMOUS,"3,921","3,500",92,18,311,0
Show Champion,07-02-2025,5.,QWER,Dear,"2,073","1,993",1,10,69,0
Show Champion,06-25-2025,1.,Kang Daniel,Episode,"6,792","1,496",390,"2,000",906,"2,000"
Show Champion,06-25-2025,2.,ILLIT,Do the Dance,"4,316","1,601","1,500",215,"1,000",0
Show Champion,06-25-2025,3.,QWER,Dear,"3,925","3,500",9,33,383,0
Show Champion,06-25-2025,4.,ATEEZ,Lemon Drop,"2,983",445,979,"1,215",344,0
Show Champion,06-25-2025,5.,KISS OF LIFE,Lips Hips Kiss,"2,509","1,148",3,2,265,"1,091"
Show Champion,06-18-2025,1.,Doyoung,Memory,"5,666","3,072","1,440","1,139",15,0
Show Champion,06-18-2025,2.,SEVENTEEN,THUNDER,"5,247","3,102",51,"2,000",94,0
Show Champion,06-18-2025,3.,QWER,Dear,"4,112","3,500",285,3,324,0
Show Champion,06-18-2025,4.,KISS OF LIFE,Lips Hips Kiss,"3,809","1,303",323,9,174,"2,000"
Show Champion,06-18-2025,5.,ITZY,Girls Will Be Girls,"2,575",673,"1,500",71,331,0
Show Champion,06-11-2025,1.,SEVENTEEN,THUNDER,"5,742","3,500",35,"2,000",207,0
Show Champion,06-11-2025,2.,ENHYPEN,Bad Desire (With or Without You),"5,584","1,154","1,500","1,930","1,000",0
Show Champion,06-11-2025,3.,N.Flying,Everlasting,"3,729","1,824",12,6,69,"1,818"
Show Champion,06-11-2025,4.,USPEER,ZOOM,"2,218",0,20,1,197,"2,000"
Show Champion,06-11-2025,5.,RIIZE,Fly Up,"2,061","2,024",17,1,19,0
Show Champion,06-04-2025,1.,SEVENTEEN,THUNDER,"8,000","3,500","1,500","2,000","1,000",0
Show Champion,06-04-2025,2.,UAU,2 Months,"3,021",0,29,927,65,"2,000"
Show Champion,06-04-2025,3.,KickFlip,FREEZE,"2,595",0,203,89,303,"2,000"
Show Champion,06-04-2025,4.,RIIZE,Fly Up,"2,414","1,929",12,81,392,0
Show Champion,06-04-2025,5.,DAY6,Maybe Tomorrow,"2,043","2,029",0,12,2,0
Show Champion,05-28-2025,1.,RIIZE,Fly Up,"7,719","3,500","1,500","2,000",719,0
Show Champion,05-28-2025,2.,i-dle,Good Thing,"4,209","1,748",888,573,"1,000",0
Show Champion,05-28-2025,3.,Baekhyun,Elevator,"3,708",614,890,"1,454",750,0
Show Champion,05-28-2025,4.,DAY6,Maybe Tomorrow,"3,296","3,267",0,24,5,0
Show Champion,05-28-2025,5.,BOYNEXTDOOR,I Feel Good,"2,369","1,946",82,261,80,0
Show Champion,05-21-2025,1.,tripleS,Are You Alive,"5,758",486,713,"2,000",559,"2,000"
Show Champion,05-21-2025,2.,BOYNEXTDOOR,I Feel Good,"5,322","1,719","1,500","1,103","1,000",0
Show Champion,05-21-2025,3.,MEOVV,HANDS UP,"4,116","3,500",352,5,259,0
Show Champion,05-21-2025,4.,DAY6,Maybe Tomorrow,"3,609","3,487",0,8,114,0
Show Champion,05-21-2025,5.,FIFTY FIFTY,Pookie,"3,445","1,779",1,2,27,"1,636"
Show Champion,05-14-2025,1.,P1Harmony,DUH!,"6,500",319,"1,500","1,899",782,"2,000"
Show Champion,05-14-2025,2.,DAY6,Maybe Tomorrow,"4,550","3,500",0,50,"1,000",0
Show Champion,05-14-2025,3.,TOMORROW X TOGETHER,Love Language,"4,288","1,502",0,"2,000",786,0
Show Champion,05-14-2025,4.,FIFTY FIFTY,Pookie,"4,130","1,531",21,336,242,"2,000"
Show Champion,05-14-2025,5.,TWS,Countdown!,"2,837","2,524",40,226,47,0
Show Champion,04-30-2025,1.,TWS,Countdown!,"9,394","2,894","1,500","2,000","1,000","2,000"
Show Champion,04-30-2025,2.,MARK,1999,"3,682","3,500",87,33,62,0
Show Champion,04-30-2025,3.,NCT WISH,poppop,"2,667","2,074",69,352,172,0
Show Champion,04-30-2025,4.,Kai,Wait On Me,"2,392",724,602,795,271,0
Show Champion,04-30-2025,5.,ME:I,MUSE,"1,883",0,0,65,0,"1,818"
Show Champion,04-23-2025,1.,UNIS,SWICY,"6,467","1,393",74,"2,000","1,000","2,000"
Show Champion,04-23-2025,2.,NCT WISH,poppop,"5,392","2,645","1,500",781,466,0
Show Champion,04-23-2025,3.,MARK,1999,"3,698","3,500",9,50,139,0
Show Champion,04-23-2025,4.,82MAJOR,TAKEOVER,"2,649",0,85,13,733,"1,818"
Show Champion,04-23-2025,5.,izna,SIGN,"2,403","2,241",0,4,158,0
Show Champion,04-16-2025,1.,MARK,1999,"5,592","2,128","1,500","1,891",73,0
Show Champion,04-16-2025,2.,KiiiKiii,I DO ME,"3,531","3,500",7,12,12,0
Show Champion,04-16-2025,3.,izna,SIGN,"2,088",995,0,93,"1,000",0
Show Champion,04-16-2025,4.,Kik5o X AleXa,VITAL CHECK,"2,023",0,0,"2,000",23,0
Show Champion,04-16-2025,5.,DAESUNG,Universe,"1,341",909,47,201,184,0
Show Champion,04-09-2025,1.,NiziU,LOVE LINE,"4,823",0,490,"2,000",333,"2,000"
Show Champion,04-09-2025,2.,CLOSE YOUR EYES,All My Poetry,"4,709",418,"1,500",55,736,"2,000"
Show Champion,04-09-2025,3.,LE SSERAFIM,HOT,"3,834","3,500",17,163,154,0
Show Champion,04-09-2025,4.,KiiiKiii,I DO ME,"3,234","3,199",18,7,10,0
Show Champion,04-09-2025,5.,xikers,BREATHE,"2,803",103,435,37,228,"2,000"
Show Champion,04-02-2025,1.,JENNIE,like JENNIE,"4,543","3,500",13,30,"1,000",0
Show Champion,04-02-2025,2.,TEN,STUNNER,"4,420",370,"1,100","2,000",350,600
Show Champion,04-02-2025,3.,KiiiKiii,I DO ME,"3,576","2,031","1,500",4,41,0
Show Champion,04-02-2025,4.,THE NEW SIX,For Real!?,"2,948",0,107,197,644,"2,000"
Show Champion,04-02-2025,5.,LE SSERAFIM,HOT,"2,564","1,986",45,40,493,0
Show Champion,03-26-2025,1.,NMIXX,KNOW ABOUT ME,"6,865",598,"1,419","1,973",875,"2,000"
Show Champion,03-26-2025,2.,THE BOYZ,VVV,"5,118",618,"1,500","2,000","1,000",0
Show Champion,03-26-2025,3.,JENNIE,like JENNIE,"3,931","3,500",9,1,421,0
Show Champion,03-26-2025,4.,LE SSERAFIM,HOT,"2,064","1,497",138,175,254,0
Show Champion,03-26-2025,5.,TREASURE,YELLOW,"1,594",0,116,710,768,0
Show Champion,03-19-2025,1.,TREASURE,YELLOW,"4,259",57,"1,394","2,000",808,0
Show Champion,03-19-2025,2.,G-Dragon,TOO BAD (feat. Anderson Paak),"3,870","3,500",60,173,137,0
Show Champion,03-19-2025,3.,JENNIE,like JENNIE,"3,705","2,239",585,38,843,0
Show Champion,03-19-2025,4.,HOSHI X WOOZI,96ers,"2,941",184,966,"1,116",675,0
Show Champion,03-19-2025,5.,LE SSERAFIM,HOT,"2,795",263,"1,500",32,"1,000",0
Show Champion,03-12-2025,1.,G-Dragon,TOO BAD (feat. Anderson Paak),"4,892","3,500",288,386,718,0
Show Champion,03-12-2025,2.,JENNIE,like JENNIE,"3,187",683,"1,500",4,"1,000",0
Show Champion,03-12-2025,3.,Infinite,Dangerous,"2,537",185,347,"2,000",5,0
Show Champion,03-12-2025,4.,8TURN,LEGGO,"2,185",0,143,4,38,"2,000"
Show Champion,03-12-2025,5.,Hearts2Hearts,The Chase,"1,992",810,23,48,111,"1,000"
Show Champion,03-05-2025,1.,ZEROBASEONE,BLUE,"6,917",417,"1,500","2,000","1,000","2,000"
Show Champion,03-05-2025,2.,G-Dragon,TOO BAD (feat. Anderson Paak),"5,136","3,500",934,130,572,0
Show Champion,03-05-2025,3.,Hearts2Hearts,The Chase,"2,371",557,490,70,254,"1,000"
Show Champion,03-05-2025,4.,ALL(H)OURS,GIMME GIMME,"1,646",0,0,2,44,"1,600"
Show Champion,03-05-2025,5.,NouerA,N.I.N (New is Now),"1,177",0,149,28,0,"1,000"
Show Champion,02-12-2025,1.,PLAVE,Dash,"6,852","2,735","1,486","2,000",631,0
Show Champion,02-12-2025,2.,IVE,ATTITUDE,"6,479","3,500","1,500",479,"1,000",0
Show Champion,02-12-2025,3.,CIX,THUNDER,"2,393",0,0,17,376,"2,000"
Show Champion,02-12-2025,4.,RESCENE,Glow Up,"2,392",0,29,7,356,"2,000"
Show Champion,02-12-2025,5.,KickFlip,Mama Said,"2,040",0,3,11,26,"2,000"
